epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
84,732184,0.06635,0.63865,1,0.97315,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,740643,0.065,0.64393,1,0.95973,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,744232,0.06352,0.64623,1,0.95679,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,747846,0.06313,0.6527,1,0.9486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,751562,0.0596,0.65228,1,0.94979,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,754177,0.05894,0.6556,1,0.95067,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,756860,0.05859,0.6556,1,0.95589,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,759418,0.0561,0.65653,1,0.9565,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,762005,0.05581,0.65713,1,0.95975,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,765026,0.05334,0.65636,1,0.96856,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,767721,0.05081,0.65475,1,0.98164,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,770440,0.04931,0.655,1,0.99986,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,772925,0.04502,0.65304,1,1.00502,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,775388,0.04519,0.65092,1,1.01692,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,778027,0.04483,0.651,1,1.02343,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,780874,0.04376,0.65194,1,1.02608,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,783237,0.04244,0.65015,1,1.03111,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
